Designator,Value,Q,Package,Category,Stock,Manufacturer,MPN,Datasheet,Vendor,Link,Unit,Total,MOQ,Description
"D1, ",LED_BARG,1,SMD,Electronics,,Cree,SLV6A-FKB-CK1P1G1BB7R3R3,https://docs-apac.rs-online.com/webdocs/1524/0900766b815247fa.pdf,RS Components,https://sg.rs-online.com/web/p/products/1238680/,0.632,0.632,10,"LED_RGB: RGB LED, 6 pin package"
"J1, ",Conn_01x02_Female,1,SMD,Connector,,JST,S2B-PH-SM4-TB(LF)(SN),https://docs-apac.rs-online.com/webdocs/13ce/0900766b813ce4bd.pdf,RS Components,https://sg.rs-online.com/web/p/products/6881353/,0.486,0.486,5,"Conn_01x02_Female: Generic connector, single row, 01x02, script generated"
"Q1, ",IRLML6402,1,SOT-23,Electronics,,Infineon,IRLML2246TRPBF,https://docs-apac.rs-online.com/webdocs/10c7/0900766b810c708d.pdf,RS Components,https://sg.rs-online.com/web/p/products/7604432/,0.224,0.224,5,"IRLML6402: -3.7A Id, -20V Vds, P-Channel MOSFET, 65mOhm Rds, SOT-23"
"R1, R2, R3, ",1k,3,0805,Electronics,18-res-0805-1k,,,,Old Stock,,,0,1,"R_Small: Resistor, small symbol"
"R4, ",0R,1,0805,Electronics,15-res-0805-0,,,,Old Stock,,,0,1,"R_Small: Resistor, small symbol"
"SW1, SW2, ",SW_SPDT,2,SMD,Connector,,,,https://www.aliexpress.com/item/50Pcs-Mini-7-Pin-On-Off-1P2T-SPDT-MSK-12C02-SMD-Toggle-Slide-Switch-For-MP3/32856542440.html,AliExpress,https://www.aliexpress.com/item/50Pcs-Mini-7-Pin-On-Off-1P2T-SPDT-MSK-12C02-SMD-Toggle-Slide-Switch-For-MP3/32856542440.html,1.90,3.8,1,"SW_SPDT: Switch, single pole double throw"
"U1, ",Bluefruit nRF52 Feather,1,TH,Electronics,prototype-4,Adafruit,3406,https://cdn-learn.adafruit.com/assets/assets/000/052/793/original/microcontrollers_revgsch.png?1523067417,Adafruit,https://www.adafruit.com/product/3406,34.0,34.0,1,Adafruit_nRF52_Feather:
"U2, ",VEML6075,1,TH,Electronics,prototype-5,Adafruit,3964,https://learn.adafruit.com/assets/62587,Adafruit,https://www.adafruit.com/product/3964,8.20,8.2,1,VEML6075_breakout:
"B1, ",3.7V 380mAh,1,JST,Battery,,,,https://www.aliexpress.com/item/32846516934.html?spm=a2g0s.9042311.0.0.4b144c4dT8E8H6,AliExpress,https://www.aliexpress.com/item/32846516934.html?spm=a2g0s.9042311.0.0.4b144c4dT8E8H6,3.00,3.00,1,Limskey 3.7V 380mAh 25C Lipo Battery for For Hubsan X4 H107 H107L H107D JD385 JD388 RC Helicopter Quadcopter 3.7 V 380 battery
"PCB, ",PCB,1,,PCB,,JLCPCB,,,JLCPCB,https://jlcpcb.com,18.30,18.30,1,2 Layer Black silkscreen PCB
